[2026-03-10 14:37:37] 192.168.1.50 -> 1.1.1.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:11:40] 172.16.0.1 -> 192.168.1.2 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:11:44] 1.1.1.1 -> 1.1.1.1 | Protocol: UDP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:11:45] 8.8.8.8 -> 8.8.8.8 | Protocol: TCP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:11:49] 10.0.0.5 -> 10.0.0.1 | Protocol: TCP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:11:50] 10.0.0.5 -> 192.168.1.10 | Protocol: TCP | Result: Attack | Confidence: 0.5140
[2026-03-10 15:11:50] 8.8.8.8 -> 172.16.0.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5058
[2026-03-10 15:11:54] 1.1.1.1 -> 192.168.0.1 | Protocol: TCP | Result: Attack | Confidence: 0.5140
[2026-03-10 15:11:59] 192.168.1.200 -> 10.0.0.1 | Protocol: UDP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:12:03] 192.168.1.200 -> 192.168.1.50 | Protocol: TCP | Result: Attack | Confidence: 0.5040
[2026-03-10 15:12:05] 172.16.0.1 -> 172.16.0.1 | Protocol: UDP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:12:08] 192.168.1.200 -> 192.168.1.1 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:12:09] 192.168.1.100 -> 192.168.1.10 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:12:10] 192.168.0.1 -> 192.168.1.200 | Protocol: ICMP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:12:11] 192.168.1.200 -> 10.0.0.5 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:12:12] 8.8.8.8 -> 8.8.8.8 | Protocol: UDP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:12:17] 192.168.1.2 -> 192.168.1.10 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:12:17] 10.0.0.1 -> 192.168.1.50 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:12:22] 172.16.0.1 -> 192.168.1.50 | Protocol: UDP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:12:26] 192.168.1.10 -> 192.168.1.10 | Protocol: TCP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:12:30] 1.1.1.1 -> 192.168.1.1 | Protocol: UDP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:12:33] 192.168.0.1 -> 192.168.0.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5160
[2026-03-10 15:12:50] 192.168.0.1 -> 1.1.1.1 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:12:51] 192.168.1.100 -> 8.8.8.8 | Protocol: ICMP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:12:56] 192.168.1.100 -> 10.0.0.5 | Protocol: UDP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:12:59] 172.16.0.1 -> 172.16.0.1 | Protocol: UDP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:13:00] 192.168.1.200 -> 10.0.0.1 | Protocol: TCP | Result: Attack | Confidence: 0.5040
[2026-03-10 15:13:01] 8.8.8.8 -> 192.168.1.50 | Protocol: ICMP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:13:12] 192.168.1.200 -> 172.16.0.1 | Protocol: TCP | Result: Attack | Confidence: 0.5240
[2026-03-10 15:13:21] 1.1.1.1 -> 1.1.1.1 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:13:26] 192.168.1.100 -> 1.1.1.1 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:13:28] 10.0.0.5 -> 1.1.1.1 | Protocol: TCP | Result: Attack | Confidence: 0.5240
[2026-03-10 15:13:28] 10.0.0.5 -> 192.168.1.100 | Protocol: ICMP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:13:30] 8.8.8.8 -> 8.8.8.8 | Protocol: UDP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:13:33] 10.0.0.1 -> 192.168.1.1 | Protocol: UDP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:13:40] 192.168.1.10 -> 192.168.1.100 | Protocol: ICMP | Result: Attack | Confidence: 0.5060
[2026-03-10 15:13:45] 192.168.1.100 -> 192.168.1.100 | Protocol: ICMP | Result: Attack | Confidence: 0.5160
[2026-03-10 15:13:45] 192.168.1.2 -> 10.0.0.5 | Protocol: ICMP | Result: Attack | Confidence: 0.5142
[2026-03-10 15:13:54] 10.0.0.1 -> 10.0.0.1 | Protocol: UDP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:13:54] 192.168.1.2 -> 1.1.1.1 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:13:55] 172.16.0.1 -> 192.168.1.1 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:13:57] 192.168.1.1 -> 192.168.0.1 | Protocol: UDP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:13:57] 192.168.1.200 -> 172.16.0.1 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:13:58] 8.8.8.8 -> 192.168.1.1 | Protocol: TCP | Result: Attack | Confidence: 0.5040
[2026-03-10 15:13:59] 8.8.8.8 -> 192.168.0.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5060
[2026-03-10 15:14:03] 172.16.0.1 -> 10.0.0.5 | Protocol: ICMP | Result: Attack | Confidence: 0.5142
[2026-03-10 15:14:26] 192.168.0.1 -> 8.8.8.8 | Protocol: UDP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:14:27] 192.168.1.10 -> 192.168.1.50 | Protocol: TCP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:14:28] 172.16.0.1 -> 192.168.1.10 | Protocol: UDP | Result: Attack | Confidence: 0.5040
[2026-03-10 15:14:30] 192.168.1.1 -> 192.168.0.1 | Protocol: TCP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:14:31] 192.168.1.1 -> 192.168.1.50 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:14:32] 172.16.0.1 -> 192.168.1.10 | Protocol: TCP | Result: Attack | Confidence: 0.5040
[2026-03-10 15:14:32] 172.16.0.1 -> 192.168.1.50 | Protocol: TCP | Result: Attack | Confidence: 0.5140
[2026-03-10 15:14:35] 192.168.1.200 -> 8.8.8.8 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:14:35] 192.168.1.200 -> 192.168.1.200 | Protocol: ICMP | Result: Attack | Confidence: 0.5060
[2026-03-10 15:14:36] 192.168.1.10 -> 192.168.1.10 | Protocol: UDP | Result: Attack | Confidence: 0.5240
[2026-03-10 15:14:44] 192.168.1.100 -> 192.168.1.50 | Protocol: ICMP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:14:44] 192.168.0.1 -> 192.168.1.100 | Protocol: TCP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:14:45] 192.168.1.50 -> 192.168.0.1 | Protocol: TCP | Result: Attack | Confidence: 0.5140
[2026-03-10 15:14:45] 192.168.1.10 -> 1.1.1.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:14:48] 192.168.0.1 -> 10.0.0.5 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:14:53] 10.0.0.1 -> 192.168.1.50 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:15:06] 10.0.0.5 -> 192.168.1.10 | Protocol: ICMP | Result: Attack | Confidence: 0.5060
[2026-03-10 15:15:07] 192.168.0.1 -> 10.0.0.5 | Protocol: UDP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:15:09] 192.168.1.2 -> 8.8.8.8 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:15:11] 192.168.1.2 -> 192.168.1.10 | Protocol: UDP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:15:18] 10.0.0.1 -> 192.168.1.10 | Protocol: TCP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:15:19] 192.168.0.1 -> 192.168.1.50 | Protocol: ICMP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:15:24] 192.168.1.50 -> 192.168.0.1 | Protocol: TCP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:15:25] 10.0.0.5 -> 172.16.0.1 | Protocol: TCP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:15:26] 192.168.1.2 -> 192.168.1.1 | Protocol: TCP | Result: Attack | Confidence: 0.5140
[2026-03-10 15:15:28] 192.168.1.100 -> 172.16.0.1 | Protocol: TCP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:15:30] 192.168.1.2 -> 192.168.1.1 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:15:39] 192.168.1.10 -> 192.168.0.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5060
[2026-03-10 15:15:43] 10.0.0.1 -> 192.168.1.2 | Protocol: TCP | Result: Attack | Confidence: 0.5149
[2026-03-10 15:15:47] 192.168.1.200 -> 192.168.1.50 | Protocol: ICMP | Result: Attack | Confidence: 0.5040
[2026-03-10 15:15:49] 192.168.1.50 -> 192.168.1.50 | Protocol: ICMP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:15:57] 192.168.1.50 -> 192.168.1.2 | Protocol: UDP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:16:06] 192.168.1.1 -> 192.168.1.2 | Protocol: UDP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:16:06] 192.168.1.1 -> 1.1.1.1 | Protocol: UDP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:16:07] 192.168.1.1 -> 172.16.0.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5060
[2026-03-10 15:16:11] 192.168.1.200 -> 192.168.1.200 | Protocol: TCP | Result: Attack | Confidence: 0.5300
[2026-03-10 15:16:13] 192.168.0.1 -> 192.168.1.100 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:16:18] 192.168.1.200 -> 192.168.1.50 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:16:29] 192.168.0.1 -> 10.0.0.5 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:16:33] 10.0.0.5 -> 1.1.1.1 | Protocol: UDP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:16:34] 10.0.0.1 -> 192.168.1.10 | Protocol: ICMP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:16:37] 192.168.1.1 -> 172.16.0.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5060
[2026-03-10 15:16:38] 10.0.0.5 -> 192.168.1.10 | Protocol: ICMP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:16:40] 192.168.1.100 -> 192.168.1.10 | Protocol: ICMP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:16:47] 192.168.1.10 -> 10.0.0.1 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:16:50] 192.168.1.200 -> 192.168.1.1 | Protocol: TCP | Result: Attack | Confidence: 0.5300
[2026-03-10 15:17:00] 192.168.1.200 -> 192.168.1.100 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:17:01] 10.0.0.1 -> 192.168.1.50 | Protocol: TCP | Result: Attack | Confidence: 0.5300
[2026-03-10 15:17:03] 10.0.0.5 -> 172.16.0.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:17:04] 192.168.1.1 -> 10.0.0.5 | Protocol: UDP | Result: Attack | Confidence: 0.5240
[2026-03-10 15:17:07] 1.1.1.1 -> 192.168.1.50 | Protocol: UDP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:17:08] 10.0.0.5 -> 10.0.0.1 | Protocol: TCP | Result: Attack | Confidence: 0.5140
[2026-03-10 15:17:12] 8.8.8.8 -> 1.1.1.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5042
[2026-03-10 15:17:12] 192.168.1.1 -> 192.168.1.50 | Protocol: UDP | Result: Attack | Confidence: 0.5140
[2026-03-10 15:17:19] 192.168.1.100 -> 1.1.1.1 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:17:20] 10.0.0.5 -> 172.16.0.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5160
[2026-03-10 15:17:24] 192.168.1.100 -> 10.0.0.1 | Protocol: UDP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:17:25] 10.0.0.5 -> 192.168.1.50 | Protocol: UDP | Result: Attack | Confidence: 0.5240
[2026-03-10 15:17:25] 1.1.1.1 -> 1.1.1.1 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:17:27] 192.168.1.100 -> 192.168.1.10 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:17:28] 192.168.0.1 -> 10.0.0.1 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:17:32] 192.168.1.1 -> 10.0.0.5 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:17:34] 192.168.1.1 -> 192.168.1.1 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:17:35] 192.168.1.50 -> 8.8.8.8 | Protocol: ICMP | Result: Attack | Confidence: 0.5060
[2026-03-10 15:17:35] 172.16.0.1 -> 10.0.0.1 | Protocol: TCP | Result: Attack | Confidence: 0.5300
[2026-03-10 15:17:37] 8.8.8.8 -> 192.168.1.200 | Protocol: ICMP | Result: Attack | Confidence: 0.5060
[2026-03-10 15:17:39] 172.16.0.1 -> 8.8.8.8 | Protocol: ICMP | Result: Attack | Confidence: 0.5300
[2026-03-10 15:18:06] 192.168.1.50 -> 10.0.0.1 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:18:09] 192.168.1.200 -> 192.168.1.100 | Protocol: ICMP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:18:15] 1.1.1.1 -> 192.168.1.50 | Protocol: UDP | Result: Attack | Confidence: 0.5040
[2026-03-10 15:18:18] 1.1.1.1 -> 192.168.0.1 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:18:19] 192.168.0.1 -> 192.168.0.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5060
[2026-03-10 15:18:23] 192.168.0.1 -> 192.168.0.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:18:24] 192.168.0.1 -> 1.1.1.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5040
[2026-03-10 15:18:26] 192.168.1.50 -> 192.168.1.100 | Protocol: TCP | Result: Attack | Confidence: 0.5040
[2026-03-10 15:18:27] 10.0.0.5 -> 192.168.1.200 | Protocol: ICMP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:18:27] 192.168.0.1 -> 1.1.1.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5060
[2026-03-10 15:18:35] 1.1.1.1 -> 1.1.1.1 | Protocol: TCP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:18:36] 8.8.8.8 -> 172.16.0.1 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:18:44] 8.8.8.8 -> 192.168.1.2 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:18:45] 192.168.1.50 -> 192.168.1.200 | Protocol: UDP | Result: Attack | Confidence: 0.5040
[2026-03-10 15:18:47] 10.0.0.5 -> 172.16.0.1 | Protocol: UDP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:18:54] 10.0.0.1 -> 10.0.0.5 | Protocol: TCP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:18:55] 192.168.0.1 -> 1.1.1.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5060
[2026-03-10 15:18:56] 192.168.1.10 -> 10.0.0.1 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:19:03] 192.168.1.1 -> 172.16.0.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:19:03] 10.0.0.1 -> 172.16.0.1 | Protocol: UDP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:19:07] 8.8.8.8 -> 192.168.0.1 | Protocol: ICMP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:19:08] 10.0.0.5 -> 192.168.1.50 | Protocol: TCP | Result: Attack | Confidence: 0.5100
[2026-03-10 15:19:12] 192.168.1.200 -> 192.168.1.100 | Protocol: ICMP | Result: Attack | Confidence: 0.5200
[2026-03-10 15:19:12] 1.1.1.1 -> 192.168.1.100 | Protocol: ICMP | Result: Attack | Confidence: 0.5040
[2026-03-10 15:19:27] 192.168.1.1 -> 8.8.8.8 | Protocol: TCP | Result: Attack | Confidence: 0.5040
